Question_ID,Year,Subject,Topic,Question_Text,Option_A,Option_B,Option_C,Option_D,Current_Answer,Correct_Answer,Explanation,Mnemonic,Tags,Notes
16,2018,General Medicine,,Most common valve involved in Carcinoid syndrome is: (a)  (b)  (c),Mitral valve,Tricuspid valve,Aortic valve,Pulmonary valve,A,,,,,
17,2018,General Medicine,,A 70 year old man reports to the emergency with acute chest pain. ECG shows inferior wall Myocardial Infarction (MI). He has recently been discharged 7 days back following thrombolysis with streptokin,"Aspirin, Sublingual nitroglycerin, Clopidogrel, Primary PCI","Aspirin, Sublingual nitroglycerin, Clopidogrel, Streptokinase","Aspirin, Sublingual nitroglycerin, Clopidogrel, Heparin","Aspirin, Sublingual nitroglycerin, Clopidogrel, Beta blockers",A,,,,cardiology,
18,2018,General Medicine,,The presence of a fusion beat on an Electrocardiogram is diagnostic of: (a)  (b)  (c),Atrial Fibrillation,Ventricular Tachycardia,Supraventricular Tachycardia,Sinus Bradycardia,A,,,,,
19,2018,General Medicine,,"A 64 year old man presents with chest pain of 24 hours duration. His ECG reveals ST elevation, Anterior Wall Myocardial Infarction. The preferred treatment modality for him is: (a)  (b)  (c)",Primary percutaneous coronary intervention,Thrombolysis with Alteplase,Thrombolysis with Streptokinase,"Nitroglycerin infusion , Aspirin and Beta blockers",A,,,,cardiology,
20,2018,General Medicine,,The preferred anti hypertensive drug for a 74 year old male with benign prostatic hypertrophy is: (a)  (b)  (c),Amlodepine,Hydrochlorothiazide,Prazosin,Atenolol,A,,,,,
21,2018,General Medicine,,The treatment of choice for a 32 year old male patient of severe mitral stenosis (Rheumatic) with thickened and calcified valves on echocardiography is: (a)  (b)  (c)  (d) Mitral valvotomy,Balloon valvuloplasty,Mitral valve replacement,Medical management only,,A,,,,,
22,2018,General Medicine,,Which one of the following is an example of Type-IV respiratory failure? (a)  (b)  (c),Bronchial asthma,Pulmonary embolism,COPD,Shock,A,,,,,
23,2018,General Medicine,,All of the following are seen in Polyarteritis Nodosa EXCEPT: (a)  (b)  (c),Glomerulonephritis,Peripheral Neuropathy,Bowel Infarction,Pericarditis,A,,,,,
24,2018,General Medicine,,All of the following are the pointers to organic cause of psychiatric disease EXCEPT: (a)  (b)  (c),Late age of onset of psychiatric illness,No previous history of psychiatric illness,Family history of psychiatric illness,No apparent psychological precipitant,A,,,,,
25,2018,General Medicine,,All of the following are Long Acting Beta Agonists (LABA) EXCEPT: (a)  (b)  (c)  (d) Indacaterol,Levo salbutamol,Salmeterol,Formoterol,,A,,,,,
26,2018,General Medicine,,Deficiency of which immune function results in tubercular infections? (a)  (b)  (c),Defective phagocytic function,Defect in T cell function,Defect in B cell function,Defect in antibody productivity,A,,,,,
27,2018,General Medicine,Community Acquired Pneumonia (CAP),The most common agent responsible for community acquired pneumonia is: (a)  (b)  (c),Streptococcus pneumoniae,Mycoplasma pneumoniae,Staphylococcus aureus,Legionella haemophilia,A,,Most common cause of community-acquired pneumonia is Streptococcus pneumoniae. It remains the leading typical bacterial pathogen in adults.,CAP classic: S-pneumo Starts the list.,"community acquired pneumonia, pneumonia etiology, respiratory infections, streptococcus pneumoniae, typical pneumonia",
28,2018,General Medicine,,"A 26 year old woman presents with fever, arthralgia and erythema nodosum. Her chest X-ray reveals bilateral hilar lymphadenopathy. Her mantoux test is negative. The most likely diagnosis is: (a)  (b) ",Tuberculosis,Allergic bronchopulmonary aspergillosis,Sarcoidosis,Pulmonary thromboembolism,A,,,,,
29,2018,General Medicine,,Pleural fluid LDH/serum LDH < 0.6 Select the correct answer using the code given below: (a)  (b)  (c),1 and 3,1 and 4,2 and 3,2 and 4,A,,,,,
30,2018,General Medicine,,All of the following are seen in Whipple’s disease EXCEPT: (a)  (b)  (c),Weight loss,Migratory arthropathy,Dementia,Hemolytic anemia,A,,,,,
31,2018,General Medicine,,"A middle aged patient with chronic liver disease presents with pain abdomen and distension. He also has diarrhoea and fever since one day. On examination, he is hemodynamically stable with fever of 10",Spontaneous bacterial peritonitis,Secondary bacterial peritonitis,Perforation peritonitis,T B peritonitis,A,,,,,
32,2018,General Medicine,,Herald patch followed by rash is characteristic of: (a)  (b)  (c),Psoriasis,Lichen planus,Pityriasis rosea,Dermatophytosis,A,,,,,
33,2018,General Medicine,,A young male comes to the OPD with history of jaundice since many years. He has noted that the jaundice may fluctuate but is often aggravated when he is fasting. There is no history of hospitalisation,Dubin Johnson syndrome,Crigler Najjar syndrome type-I,Gilbert’s syndrome,Rotor syndrome,A,,,,,
