Top pages,Clicks,Impressions,CTR,Position
https://www.cracklabs.app/,117,968,12.09%,5.99
https://www.cracklabs.app/cms/cutoff/2026,75,2918,2.57%,9.28
https://www.cracklabs.app/cms,63,2046,3.08%,8.33
https://www.cracklabs.app/cms/vs-neet-pg,52,15735,0.33%,4.4
https://www.cracklabs.app/guides/upsc-cms-complete-guide,41,9992,0.41%,8.22
https://www.cracklabs.app/medical-officer,28,1035,2.71%,5.76
https://www.cracklabs.app/cms/subject/obg,26,362,7.18%,3.82
https://www.cracklabs.app/cms/subject/psm,17,298,5.7%,5.14
https://www.cracklabs.app/neet-pg,16,521,3.07%,11.55
https://www.cracklabs.app/cms/cutoff/2024,14,2685,0.52%,8.32
https://www.cracklabs.app/cms/subject/surgery,14,241,5.81%,4.72
https://www.cracklabs.app/blog/upsc-cms-2024-cutoff-marks-category-wise,11,604,1.82%,7
https://www.cracklabs.app/blog/cms-vs-neet-pg-vs-ini-cet,10,890,1.12%,6.7
https://www.cracklabs.app/guides/ini-cet-complete-guide,8,734,1.09%,6.92
https://www.cracklabs.app/usmle,8,242,3.31%,10.47
https://www.cracklabs.app/cms/subject/anaesthesia,7,67,10.45%,4.54
https://www.cracklabs.app/blog/best-pg-medical-entrance-books,6,448,1.34%,6.89
https://www.cracklabs.app/cms/vs-ini-cet,6,334,1.8%,5.05
https://www.cracklabs.app/blog/neet-pg-vs-upsc-cms,5,1156,0.43%,6.09
https://www.cracklabs.app/blog/upsc-cms-preparation-strategy-6-month-plan,5,307,1.63%,7.14
https://www.cracklabs.app/blog/upsc-cms-syllabus-high-yield-topics,5,266,1.88%,6.9
https://www.cracklabs.app/cms/subject/ophthalmology,5,91,5.49%,6.25
https://www.cracklabs.app/blog/author/dr-aarav-mehta,5,54,9.26%,5.22
https://www.cracklabs.app/blog/neet-pg-2024-cutoff-category-wise,4,457,0.88%,7.29
https://www.cracklabs.app/blog/ini-cet-2024-cutoff-closing-ranks,4,437,0.92%,7.62
https://www.cracklabs.app/cms/pyq/2024,4,304,1.32%,6.38
https://www.cracklabs.app/cms/subject/paediatrics,4,124,3.23%,6.1
https://www.cracklabs.app/guides/medical-officer-jobs,3,1511,0.2%,8.83
https://www.cracklabs.app/blog/neet-pg-vs-ini-cet,3,1345,0.22%,7.9
https://www.cracklabs.app/fmge,3,560,0.54%,9.44
https://www.cracklabs.app/cms/books,3,233,1.29%,7.21
https://www.cracklabs.app/cms/strategy/last-week,3,119,2.52%,7.22
https://www.cracklabs.app/cms/strategy/6-month,3,33,9.09%,11.3
https://www.cracklabs.app/cms/books/park,2,51,3.92%,6.55
https://www.cracklabs.app/cms/subject/ent,2,18,11.11%,3.78
https://www.cracklabs.app/blog/cms-and-neet-pg-last-week-shared-revision,1,372,0.27%,6.79
https://www.cracklabs.app/cms/pyq/2022,1,234,0.43%,8.48
https://www.cracklabs.app/cms/pyq/2021,1,220,0.45%,7.9
